Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation Of Dendritic Spine Development (GO:0060999)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Positive Regulation Of Endothelial Cell Chemotaxis (GO:2001028)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	HSPB1
Endothelial Cell Migration (GO:0043542)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	PXN
Sodium-Independent Organic Anion Transport (GO:0043252)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SLCO4C1
Positive Regulation Of Focal Adhesion Assembly (GO:0051894)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAP4K4
Positive Regulation Of Focal Adhesion Disassembly (GO:0120183)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAP4K4
Steroid Catabolic Process (GO:0006706)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SPP1
Superoxide Anion Generation (GO:0042554)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	NCF2
Suppression Of Viral Release By Host (GO:0044790)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	TRIM28
Synaptic Transmission, Glutamatergic (GO:0035249)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SEPTIN9
Positive Regulation Of Lamellipodium Morphogenesis (GO:2000394)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	VIL1
Forebrain Neuron Differentiation (GO:0021879)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RBM14
Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	APOA4
Glutathione Biosynthetic Process (GO:0006750)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	GCLM
Vasculogenesis (GO:0001570)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	ENG
Vocal Learning (GO:0042297)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Positive Regulation Of Protein Depolymerization (GO:1901881)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	VIL1
Imitative Learning (GO:0098596)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Positive Regulation Of Superoxide Anion Generation (GO:0032930)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Learned Vocalization Behavior Or Vocal Learning (GO:0098598)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Protein Acetylation (GO:0006473)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Protein Insertion Into ER Membrane (GO:0045048)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SGTA
Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SQSTM1
Protein Localization To Vacuole (GO:0072665)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RTN4
miRNA Metabolic Process (GO:0010586)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	DIS3L2
Purine Nucleobase Metabolic Process (GO:0006144)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	TTR
Mitochondrion Transport Along Microtubule (GO:0047497)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Pyrimidine Nucleobase Catabolic Process (GO:0006208)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	DPYSL3
Pyrimidine-Containing Compound Catabolic Process (GO:0072529)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	DPYSL3
Modulation By Symbiont Of Entry Into Host (GO:0052372)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	TRIM25
Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903069)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SGTA
Regulation Of ERBB Signaling Pathway (GO:1901184)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	PTPN12
Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	LRPAP1
Negative Regulation Of Actin Filament Depolymerization (GO:0030835)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	VIL1
Negative Regulation Of Axon Extension (GO:0030517)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RTN4
Negative Regulation Of Cardiac Muscle Hypertrophy (GO:0010614)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	LMNA
Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010665)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	ENG
Negative Regulation Of Centrosome Duplication (GO:0010826)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RBM14
Regulation Of Protein Localization To Plasma Membrane (GO:1903076)	3/22	0.11127053944630794	0.41950831484429774	0	0	2.8286674132138856	6.2111617428554515	LRPAP1;SQSTM1;SPTBN1
Positive Regulation Of Cytoskeleton Organization (GO:0051495)	3/22	0.11127053944630794	0.41950831484429774	0	0	2.8286674132138856	6.2111617428554515	VIL1;CARMIL1;SYNPO
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	6/62	0.11273332238338882	0.41950831484429774	0	0	1.9391679748822606	4.232680556560069	BCLAF1;KSR1;CAV2;TRIM25;RTN4;ENG
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	2/11	0.11517573587219572	0.41950831484429774	0	0	3.962573099415205	8.564294098831935	THRAP3;DIS3L2
Positive Regulation Of Endothelial Cell Migration (GO:0010595)	2/11	0.11517573587219572	0.41950831484429774	0	0	3.962573099415205	8.564294098831935	HSPB1;BCAR1
Endoplasmic Reticulum Organization (GO:0007029)	2/11	0.11517573587219572	0.41950831484429774	0	0	3.962573099415205	8.564294098831935	CAV2;RTN4
Positive Regulation Of Protein Kinase B Signaling (GO:0051897)	2/11	0.11517573587219572	0.41950831484429774	0	0	3.962573099415205	8.564294098831935	RTN4;ENG
Integrin-Mediated Signaling Pathway (GO:0007229)	2/11	0.11517573587219572	0.41950831484429774	0	0	3.962573099415205	8.564294098831935	ZYX;BCAR1
Positive Regulation Of Stress Fiber Assembly (GO:0051496)	2/11	0.11517573587219572	0.41950831484429774	0	0	3.962573099415205	8.564294098831935	CARMIL1;PXN
Proteolysis (GO:0006508)	2/11	0.11517573587219572	0.41950831484429774	0	0	3.962573099415205	8.564294098831935	MME;APEH
Cellular Response To Hypoxia (GO:0071456)	2/12	0.1335314922866661	0.41950831484429774	0	0	3.5642105263157893	7.176245385976882	LMNA;NDRG1
Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)	2/12	0.1335314922866661	0.41950831484429774	0	0	3.5642105263157893	7.176245385976882	VIL1;BCAR1
Positive Regulation Of Neurogenesis (GO:0050769)	2/12	0.1335314922866661	0.41950831484429774	0	0	3.5642105263157893	7.176245385976882	MME;SHANK3
Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078)	2/12	0.1335314922866661	0.41950831484429774	0	0	3.5642105263157893	7.176245385976882	SQSTM1;SPTBN1
Protein-Containing Complex Disassembly (GO:0032984)	2/12	0.1335314922866661	0.41950831484429774	0	0	3.5642105263157893	7.176245385976882	APEH;SEPTIN9
Negative Regulation Of Cytoskeleton Organization (GO:0051494)	2/12	0.1335314922866661	0.41950831484429774	0	0	3.5642105263157893	7.176245385976882	SHANK3;KANK3
Regulation Of MAPK Cascade (GO:0043408)	3/25	0.14831168251993102	0.41950831484429774	0	0	2.4385880077369437	4.653897084827118	KSR1;CAV2;MAP4K4
Negative Regulation Of Growth (GO:0045926)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	RTN4;CDKN2AIP
ERBB Signaling Pathway (GO:0038127)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	VIL1;BCAR1
Regulation Of Epithelial Cell Migration (GO:0010632)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	VIL1;RTN4
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	DAP;MAPT
Cellular Response To Decreased Oxygen Levels (GO:0036294)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	LMNA;NDRG1
Response To Unfolded Protein (GO:0006986)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	HSPB7;HSPB1
Generation Of Neurons (GO:0048699)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	MAPT;RTN4
Ubiquitin-Dependent ERAD Pathway (GO:0030433)	2/13	0.15249201676797203	0.41950831484429774	0	0	3.2382775119617224	6.090044042981161	SGTA;TRIM25
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	JMY
B Cell Receptor Signaling Pathway (GO:0050853)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	BCAR1
Regulation Of Chromosome Organization (GO:0033044)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAPT
Negative Regulation Of Hormone Secretion (GO:0046888)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RAB11FIP5
P-body Assembly (GO:0033962)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	LSM14A
Negative Regulation Of Oxidative Stress-Induced Cell Death (GO:1903202)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	HSPB1
Negative Regulation Of Phosphoprotein Phosphatase Activity (GO:0032515)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	PPP1R1B
Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010642)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	PTPN12
Actin Filament Depolymerization (GO:0030042)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	VIL1
Regulation Of Keratinocyte Migration (GO:0051547)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAP4K4
Actin Filament Network Formation (GO:0051639)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	CARMIL1
Regulation Of Lamellipodium Morphogenesis (GO:2000392)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	VIL1
Negative Regulation Of Receptor Internalization (GO:0002091)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	LRPAP1
Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	AKAP12
Regulation Of Mammary Gland Epithelial Cell Proliferation (GO:0033599)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RTN4
Anterograde Axonal Protein Transport (GO:0099641)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	HSPB1
Axo-Dendritic Protein Transport (GO:0099640)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	HSPB1
Axo-Dendritic Transport (GO:0008088)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAPT
Regulation Of Non-Motile Cilium Assembly (GO:1902855)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SEPTIN9
Regulation Of Ossification (GO:0030278)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	AHSG
Cardiac Muscle Tissue Morphogenesis (GO:0055008)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Cardiac Ventricle Morphogenesis (GO:0003208)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Cellular Response To UV-B (GO:0071493)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MME
Cellular Response To Acidic pH (GO:0071468)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RAB11FIP5
Phosphatidylcholine Metabolic Process (GO:0046470)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	APOA4
Phospholipid Transport (GO:0015914)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	APOA4
Cellular Response To Growth Hormone Stimulus (GO:0071378)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	PXN
Positive Regulation Of BMP Signaling Pathway (GO:0030513)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Cellular Response To pH (GO:0071467)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RAB11FIP5
Positive Regulation Of DNA Methylation-Dependent Heterochromatin Formation (GO:0090309)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	TRIM28
Cellular Response To Superoxide (GO:0071451)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	APOA4
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	LRPAP1
Response To UV-B (GO:0010224)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MME
Response To Acidic pH (GO:0010447)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RAB11FIP5
Positive Regulation Of Axon Extension (GO:0045773)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAPT
Positive Regulation Of Cell Communication (GO:0010647)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	CDKN2AIP
Response To Testosterone (GO:0033574)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SPP1
Positive Regulation Of Cell-Substrate Junction Organization (GO:0150117)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAP4K4
Determination Of Heart Left/Right Asymmetry (GO:0061371)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Positive Regulation Of Chemotaxis (GO:0050921)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	HSPB1
Embryonic Heart Tube Morphogenesis (GO:0003143)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Signal Complex Assembly (GO:0007172)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	PXN
Skeletal Muscle Tissue Development (GO:0007519)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	CAV2
Endoplasmic Reticulum Membrane Organization (GO:0090158)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RTN4
Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SHANK3
Smooth Muscle Tissue Development (GO:0048745)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Positive Regulation Of Fatty Acid Biosynthetic Process (GO:0045723)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	APOA4
Positive Regulation Of Fatty Acid Metabolic Process (GO:0045923)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	APOA4
Sterol Metabolic Process (GO:0016125)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	APOA4
Establishment Of Mitotic Spindle Orientation (GO:0000132)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	NSFL1C
Sulfur Amino Acid Transport (GO:0000101)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SLC7A9
Positive Regulation Of Keratinocyte Migration (GO:0051549)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAP4K4
Positive Regulation Of Ligase Activity (GO:0051351)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	GCLM
Positive Regulation Of Lipid Kinase Activity (GO:0090218)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAPT
Heart Looping (GO:0001947)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Positive Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0010862)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	ENG
Xenobiotic Transport (GO:0042908)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SLC47A1
Inclusion Body Assembly (GO:0070841)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MAPT
Positive Regulation Of Signaling (GO:0023056)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	CDKN2AIP
Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane (GO:0006620)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SGTA
Postsynaptic Membrane Organization (GO:0001941)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SHANK3
Mesenchymal Cell Differentiation (GO:0048762)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	TRIM28
Protein Localization To Presynapse (GO:1905383)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	HSPB1
Protein Processing (GO:0016485)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	MME
Protein Targeting To ER (GO:0045047)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SGTA
Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	CAV2
Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	CARMIL1
ncRNA Catabolic Process (GO:0034661)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	DIS3L2
ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	AJUBA
Negative Regulation Of ERAD Pathway (GO:1904293)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	SGTA
Regulation Of Actin Filament Depolymerization (GO:0030834)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	VIL1
Regulation Of Adiponectin Secretion (GO:0070163)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RAB11FIP5
Regulation Of Amyloid-Beta Clearance (GO:1900221)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	LRPAP1
Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RTN4
Negative Regulation Of Amyloid-Beta Formation (GO:1902430)	1/3	0.15319123856673794	0.41950831484429774	0	0	8.859375	16.620791822980387	RTN4
Negative Regulation Of Kinase Activity (GO:0033673)	2/14	0.1719406149829559	0.45506899647349625	0	0	2.966666666666667	5.223131499752971	HSPB1;MAPT
Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)	2/14	0.1719406149829559	0.45506899647349625	0	0	2.966666666666667	5.223131499752971	SQSTM1;SPTBN1
Regulation Of Cellular Catabolic Process (GO:0031329)	2/14	0.1719406149829559	0.45506899647349625	0	0	2.966666666666667	5.223131499752971	HSPB1;MAPT
Negative Regulation Of Multicellular Organismal Process (GO:0051241)	3/28	0.18873134639652528	0.45506899647349625	0	0	2.1421276595744683	3.57184947168056	LRPAP1;APOA4;RAB11FIP5
Regulation Of Protein Kinase B Signaling (GO:0051896)	2/15	0.19177118406279847	0.45506899647349625	0	0	2.736842105263158	4.519764373733296	RTN4;ENG
Mitotic Sister Chromatid Segregation (GO:0000070)	2/15	0.19177118406279847	0.45506899647349625	0	0	2.736842105263158	4.519764373733296	LSM14A;DIS3L2
Regulation Of Cellular Response To Heat (GO:1900034)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	MAPT
Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	CAV2
Negative Regulation Of Establishment Of Protein Localization (GO:1904950)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	MAPT
Regulation Of Cholesterol Transport (GO:0032374)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	APOA4
Actin Filament Polymerization (GO:0030041)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	VIL1
Actin Nucleation (GO:0045010)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	JMY
Negative Regulation Of Receptor-Mediated Endocytosis (GO:0048261)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	LRPAP1
Acylglycerol Homeostasis (GO:0055090)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	APOA4
Ameboidal-Type Cell Migration (GO:0001667)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	TNS1
Amino Acid Import Across Plasma Membrane (GO:0089718)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	SLC47A1
Aorta Morphogenesis (GO:0035909)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Artery Development (GO:0060840)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Neurotrophin Signaling Pathway (GO:0038179)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	BCAR1
Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Blood Vessel Diameter Maintenance (GO:0097746)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	GCLM
Blood Vessel Morphogenesis (GO:0048514)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Regulation Of Phagocytosis (GO:0050764)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	AHSG
Organic Cation Transport (GO:0015695)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	SLC47A1
Outflow Tract Septum Morphogenesis (GO:0003148)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Cardiac Ventricle Development (GO:0003231)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Regulation Of Receptor-Mediated Endocytosis (GO:0048259)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	LRPAP1
Peptidyl-Tyrosine Dephosphorylation (GO:0035335)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	PTPN12
Regulation Of Response To Wounding (GO:1903034)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	VIL1
Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	C5AR1
Pinocytosis (GO:0006907)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	CARMIL1
Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	SHANK3
Regulation Of Tube Diameter (GO:0035296)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	GCLM
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	HSPB1
Contractile Actin Filament Bundle Assembly (GO:0030038)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ZYX
Response To Estrogen (GO:0043627)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	TRIM25
Cytosolic Pattern Recognition Receptor Signaling Pathway (GO:0002753)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	TRIM25
Ruffle Organization (GO:0031529)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	CARMIL1
Secondary Alcohol Metabolic Process (GO:1902652)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	APOA4
Endocardial Cushion Development (GO:0003197)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Endocardial Cushion Morphogenesis (GO:0003203)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ENG
Endoplasmic Reticulum Tubular Network Organization (GO:0071786)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	RTN4
Epithelial To Mesenchymal Transition (GO:0001837)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	TRIM28
Stress Fiber Assembly (GO:0043149)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	ZYX
Positive Regulation Of Lipid Catabolic Process (GO:0050996)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	APOA4
Triglyceride Homeostasis (GO:0070328)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	APOA4
Vascular Process In Circulatory System (GO:0003018)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	GCLM
Growth Hormone Receptor Signaling Pathway (GO:0060396)	1/4	0.1989009434024607	0.45506899647349625	0	0	5.902777777777778	9.532681232840227	PXN
